timestamp,model_name,model_type,sae_location,layer,width,type,dataset_name,dataset_config_name,dataset_split,top_n,binarize_value,last_token,linear_macro_f1_score,linear_accuracy,linear_mean_cv_accuracy,linear_std_cv_accuracy,decision_tree_macro_f1_score,decision_tree_accuracy,decision_tree_mean_cv_accuracy,decision_tree_std_cv_accuracy
2024-12-21T18:40:48.164214,google/gemma-2-2b,llm,res,5,16k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,0,0,False,0.6449164176693855,0.6694915254237288,0.6075497597803706,0.05582014089541827,0.4536011241174285,0.5254237288135594,0.4690002287805994,0.0303544526721839
2024-12-21T18:40:48.167551,google/gemma-2-2b,llm,res,5,16k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,0,0,False,0.6066571110049371,0.6779661016949152,0.650308853809197,0.026507369719176967,0.4972571870459482,0.5084745762711864,0.5886067261496224,0.06190841065341234
2024-12-21T18:43:45.657339,google/gemma-2-2b,llm,res,5,16k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,20,0,False,0.6161090572305525,0.635593220338983,0.6163806909174102,0.06003909107456737,0.33249158249158245,0.3898305084745763,0.47757950125829324,0.03844725871436733
2024-12-21T18:43:45.660678,google/gemma-2-2b,llm,res,5,16k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,20,0,False,0.6092082056994338,0.652542372881356,0.6652024708304736,0.03636873314456292,0.5738141074611663,0.6610169491525424,0.6184397163120567,0.0529117941945943
2024-12-21T18:46:41.438450,google/gemma-2-2b,llm,res,5,16k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,50,0,False,0.686901375411748,0.7288135593220338,0.6182109357126515,0.09021131477404817,0.4597748879165991,0.5084745762711864,0.46703271562571497,0.020318164619959285
2024-12-21T18:46:41.441714,google/gemma-2-2b,llm,res,5,16k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,50,0,False,0.600462962962963,0.6779661016949152,0.6480439258750857,0.08392436408746648,0.5890042589658063,0.6610169491525424,0.552390757263784,0.05646210639768022
2024-12-21T18:45:10.320762,google/gemma-2-2b,llm,res,5,16k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,20,1,False,0.6387559808612441,0.6610169491525424,0.614024250743537,0.05263636546700537,0.33249158249158245,0.3898305084745763,0.47757950125829324,0.03844725871436733
2024-12-21T18:45:10.325027,google/gemma-2-2b,llm,res,5,16k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,20,1,False,0.5386200311573446,0.5932203389830508,0.6395561656371539,0.05555714406892204,0.5180451127819549,0.5254237288135594,0.4989476092427362,0.03722081063883656
2024-12-21T18:48:05.769107,google/gemma-2-2b,llm,res,5,16k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,50,1,False,0.6282589818467139,0.6694915254237288,0.6289636238846945,0.07489979837101969,0.4597748879165991,0.5084745762711864,0.46703271562571497,0.020318164619959285
2024-12-21T18:48:05.773408,google/gemma-2-2b,llm,res,5,16k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,50,1,False,0.6145558676296382,0.6949152542372882,0.6288263555250515,0.07896260226980299,0.4559677830354522,0.5,0.5288721116449325,0.03725989703028594
2024-12-21T18:42:26.679159,google/gemma-2-2b,llm,res,5,16k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,0,1,False,0.6146997929606626,0.6186440677966102,0.605353466026081,0.06128421206630479,0.4536011241174285,0.5254237288135594,0.4690002287805994,0.0303544526721839
2024-12-21T18:42:26.683490,google/gemma-2-2b,llm,res,5,16k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,0,1,False,0.6678924050632911,0.7457627118644068,0.7035232212308397,0.04939311150657165,0.4857003772666422,0.5084745762711864,0.49048272706474494,0.027488576910788563
2024-12-22T22:59:44.738377,google/gemma-2-2b,llm,res,5,65k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,20,1,False,0.6462617243867245,0.6949152542372882,0.6246167924959963,0.05570183229076002,0.3929217840982547,0.4915254237288136,0.4690459849004804,0.03442495060346874
2024-12-22T22:59:44.744776,google/gemma-2-2b,llm,res,5,65k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,20,1,False,0.5547204027822518,0.6440677966101694,0.6290322580645161,0.03611488542334668,0.5055142651642291,0.5254237288135594,0.5247083047357585,0.04959359749040572
2024-12-22T22:51:18.486033,google/gemma-2-2b,llm,res,5,65k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,0,0,False,0.5831877115798418,0.6186440677966102,0.6182566918325325,0.04453485716569838,0.40869063596336325,0.4406779661016949,0.4944635094943949,0.056662705840893696
2024-12-22T22:51:18.489646,google/gemma-2-2b,llm,res,5,65k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,0,0,False,0.5285619714459364,0.6271186440677966,0.6416609471516815,0.039767807022621934,0.41969696969696973,0.4067796610169492,0.471196522534889,0.051650299767860265
2024-12-22T22:54:41.595398,google/gemma-2-2b,llm,res,5,65k,Hidden States,SetFit/tweet_eval_stance_abortion,,train,0,1,False,0.5855921855921856,0.6101694915254238,0.6331960649736902,0.047906712143061844,0.40869063596336325,0.4406779661016949,0.4944635094943949,0.056662705840893696
2024-12-22T22:54:41.601961,google/gemma-2-2b,llm,res,5,65k,SAE Features,SetFit/tweet_eval_stance_abortion,,train,0,1,False,0.6106751256004987,0.6779661016949152,0.6950354609929078,0.049187350026665834,0.48355322660878214,0.4915254237288136,0.5008693662777397,0.1211812545978878
